PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
1360.0,11.881723488680304,1045.5,1056.25,1692.0,1267.5,13.599999904633,48.875000953674,0.7577538251293606
1292.25,9.397164889581603,954.75,1173.75,1558.75,972.25,13.299999952316,47.699999809265,0.7254874492424674
1402.0,8.997816871326798,939.25,1140.0,1554.5,1074.0,11.900000095367,53.97500038147,0.7502390673981953
1375.5,9.228796421407274,948.25,1092.0,1583.75,1203.25,11.0,60.0,0.7867125330859253
1272.25,6.518223669074141,835.5,1205.0,1490.0,1110.0,11.150000095367,59.575000762939,0.7887942318667593
1197.0,4.741012362478748,750.25,1336.5,1393.0,949.25,11.175000190735,59.175000190735,0.7847716643397448
1185.0,3.624399189797516,689.5,1461.75,1332.75,732.5,11.324999809265,56.77499961853,0.7603119392843289
1136.25,3.3266769916607997,672.0,1453.25,1332.75,729.5,10.674999952316,60.0,0.7702384578230451
1094.0,2.3394161950867094,608.5,1579.0,1276.0,619.5,10.650000095367,59.674999237061,0.7648187256861201
1009.75,1.6966582576513223,560.75,1705.0,1234.75,501.25,10.250000238419,60.200000762939,0.7516571648306898
1011.0,1.2936197573720989,526.75,1817.5,1196.75,445.25,10.075000047684,60.474999427795,0.7464945161292466
1066.0,1.1334305711878574,512.0,1918.0,1182.0,421.75,10.999999761581,56.175000190735,0.7365596001806396
1051.75,1.6037678797288073,553.25,1738.25,1221.25,471.5,10.450000047684,58.125,0.7352950830247281
1144.0,3.2436181473100727,667.0,1489.75,1339.0,729.75,10.200000047684,59.599999427795,0.7417361628563275
1333.25,8.013772987090615,899.75,1136.0,1517.0,1101.5,10.75,57.425000190735,0.7407945757399766
1351.0,9.540642925320222,960.25,1079.0,1582.75,1027.75,10.5,60.599998474121,0.7691107927579083
1233.25,6.335782437222818,827.25,1218.0,1445.75,859.75,10.799999952316,58.35000038147,0.7551830826522904
1178.75,4.971583761462568,762.0,1327.5,1361.75,670.5,10.499999761581,57.925000190735,0.7351607796315153
1236.0,5.216918999884966,774.25,1301.25,1401.25,664.0,9.5249998569489,66.774998664856,0.7950537885142038
1285.5,7.26993335753569,868.5,1162.25,1536.75,799.0,8.299999833107,76.425001144409,0.8392680677502771
1371.0,11.539007213563714,1033.5,983.25,1730.25,1036.5,8.0,81.14999961853,0.8735885336185425
1310.0,8.826222726457212,932.5,1081.75,1646.5,946.25,8.325000166893,79.799999237061,0.8777844450980445
1291.75,8.301413416761816,911.5,1102.5,1590.75,956.75,9.7000000476837,71.150001525879,0.8569381279436317
1383.0,11.151581216129403,1019.75,1008.0,1718.75,1104.0,9.7750000953674,67.624998092651,0.8185012074753434
1580.75,20.799216861460543,1318.5,798.5,2083.0,1408.5,10.349999904633,64.174999237061,0.806543633173666
1775.5,27.359807493586764,1487.75,702.25,2332.5,1704.0,9.6500000953674,69.300001144409,0.8319211444100879
1640.0,24.017756935949226,1404.0,742.75,2191.25,1653.75,9.6499998569489,67.75,0.8133139353625914
1312.75,12.779368248758171,1076.25,957.25,1706.5,1284.75,9.125,63.974999427795,0.7419242244892506
964.5,4.707071919244755,748.5,1325.25,1332.5,821.0,8.1750001907349,63.39999961853,0.6904844466414399
912.75,2.6457215096105893,629.25,1564.5,1252.25,551.75,8.2499998807907,60.824998855591,0.6657443604063102
1080.25,5.85480151426304,805.0,1253.5,1375.0,815.5,8.3250002861023,58.525000572205,0.6437636096330573
1043.75,6.37429750967153,829.0,1247.25,1378.25,831.5,7.7250001430511,59.674999237061,0.6307660602738635
987.75,4.132341795103469,718.0,1395.5,1303.5,691.5,7.125,61.799999237061,0.6275973687868803
